Symbol
AAPL
MSFT
AMZN
NVDA
GOOG
GOOGL
META
TSLA
BRK-B
JPM
V
JNJ
UNH
HD
PG
MA
XOM
LLY
ABBV
MRK
BAC
KO
PFE
PEP
COST
AVGO
TMO
CSCO
WMT
CRM
MCD
ACN
ABT
CVX
DHR
LIN
ADBE
TXN
NEE
AMD
NFLX
WFC
PM
CMCSA
BMY
RTX
UPS
INTC
ORCL
HON
QCOM
AMGN
COP
T
IBM
LOW
SBUX
ELV
MDT
GS
INTU
BLK
DE
AXP
ISRG
GILD
CAT
SYK
BKNG
MDLZ
VRTX
ADI
TJX
REGN
CI
MMC
SCHW
CB
PGR
ZTS
LRCX
SO
MO
ETN
BDX
DUK
BSX
TMUS
CME
PYPL
AON
HUM
CL
ITW
NOC
SHW
FIS
MCO
APD
EQIX
